"userId","created_at","id","text","rt","like","reply","quote"
"885487044243238912","2021-11-24T09:06:50.000Z","1463433918783188997","President Kovind graces the birth centenary celebrations of Chaudhary Harmohan Singh Yadav at Kanpur Uttar Pradesh.Details: https://t.co/DuRsgPB7MA https://t.co/cywgTGIpBT","161","1783","25","3"
"885487044243238912","2021-11-24T09:04:00.000Z","1463433206561083392","किसी भी राष्ट्र के उज्ज्वल भविष्य की नींव अतीत के अनुभव और पूर्वजों की विरासत से मजबूती प्राप्त करती है। एक सुदृढ़ यशस्वी विकसित और समृद्ध भारत के निर्माण में हम सब की सक्रिय भागीदारी होनी चाहिए। https://t.co/YONrHS6OZE","145","1145","30","4"
"885487044243238912","2021-11-24T09:03:04.000Z","1463432973949145091","श्री हरमोहन सिंह का जीवन सादगी और जन-सेवा का उत्तम उदाहरण है। वर्ष 1984 में उन्होंने सांप्रदायिक सौहार्द का उत्कृष्ट उदाहरण प्रस्तुत किया। अपनी जान जोखिम में डालकर भी उन्होंने उन्मादी भीड़ का डटकर मुकाबला किया और बड़ी संख्या में लोगों की प्राण-रक्षा की। https://t.co/Mcy53ZeFMn","131","843","27","1"
"885487044243238912","2021-11-24T07:01:43.000Z","1463402431593598980","LIVE: President Kovind addresses the birth centenary celebrations of Chaudhary Harmohan Singh Yadav at Kanpur https://t.co/J4GYeivx65","191","1083","38","5"
"885487044243238912","2021-11-24T06:33:00.000Z","1463395206926008321","Governor of Uttar Pradesh Smt Anandiben Patel and Chief Minister Yogi Adityanath receiving President Ram Nath Kovind on his arrival at Kanpur Uttar Pradesh. https://t.co/APsYQMRuJo","504","8557","42","6"
"885487044243238912","2021-11-24T02:10:02.000Z","1463329027062583297","अन्याय के विरुद्ध संघर्ष व बलिदान के प्रतीक श्री गुरु तेग बहादुर जी के शहीदी दिवस पर मैं उन्‍हें श्रद्धांजलि अर्पित करता हूं। उन्होंने मानवता की रक्षा के लिए अपने जीवन की आहुति दी थी। आइए हम उनके आदर्शों का अनुसरण करते हुए मानवता के कल्‍याण के लिए कार्य करने का संकल्‍प लें।","805","7584","141","21"
"885487044243238912","2021-11-23T14:32:07.000Z","1463153392923156483","President Ram Nath Kovind and Prime Minister Narendra Modi with the recipients of Gallantry Awards and Distinguished Service Decorations at Rashtrapati Bhavan. https://t.co/uBlxBOraUx","333","2848","64","16"
"885487044243238912","2021-11-23T14:31:23.000Z","1463153209246158851","President Kovind presents Shaurya Chakra to Shri Amit Kumar Dy. Inspector General of Police J&amp;K Police. He showed exceptional leadership qualities raw grit and moral courage risking his own life to secure his troops as well as the local populace during an operation. https://t.co/iHMjgCV02k","377","4275","54","13"
"885487044243238912","2021-11-23T14:30:16.000Z","1463152926654976015","President Kovind presents Ati Vishisht Seva Medal to Air Vice Marshal Sukumaran Ramakrishnan VSM (Retired) https://t.co/92Mo5MohJ3","178","1754","20","3"
"885487044243238912","2021-11-23T14:29:55.000Z","1463152840671649801","President Kovind presents Ati Vishisht Seva Medal to Air Vice Marshal Jonnalagadda Rajendra VSM (Retired). https://t.co/AAL0DLqntA","161","1527","17","1"
"885487044243238912","2021-11-23T14:29:29.000Z","1463152730654928900","President Kovind presents Ati Vishisht Seva Medal to Air Commodore Vikram Gaur VSM Flying (Pilot). https://t.co/Ce92J6FoCD","186","1770","19","4"
"885487044243238912","2021-11-23T14:28:55.000Z","1463152587675357187","President Kovind presents Ati Vishisht Seva Medal to Air Commodore Tejpal Singh VM Flying (Pilot). https://t.co/nTmZKvOm8O","185","1902","22","2"
"885487044243238912","2021-11-23T14:28:37.000Z","1463152513033588739","President Kovind presents Ati Vishisht Seva Medal to Air Commodore Manish Kumar Gupta Flying (Pilot). https://t.co/qiB0k7dLUB","173","1472","17","6"
"885487044243238912","2021-11-23T14:27:52.000Z","1463152320989077516","President Kovind presents Ati Vishisht Seva Medal to Air Vice Marshal Saju Balakrishnan VM Flying (Pilot) https://t.co/Ar32lGjzdu","189","1972","21","4"
"885487044243238912","2021-11-23T14:27:33.000Z","1463152244891611139","President Kovind presents Ati Vishisht Seva Medal to Rear Admiral (now Vice Admiral) Rajesh Pendharkar VSM. https://t.co/12FSvv6le0","230","2558","18","2"
"885487044243238912","2021-11-23T14:26:59.000Z","1463152100351827971","President Kovind presents Ati Vishisht Seva Medal to Rear Admiral (now Vice Admiral) Srinivasan G VSM. https://t.co/r9toXcUYEt","197","2219","18","5"
